,Datetime,Tweet Id,Text,Username
0,2021-01-06 23:57:57+00:00,1346969283293802497,"  She's not going to be able to wear that nifty scarf in jail, will she.",bobcorrigan
1,2021-01-06 23:52:47+00:00,1346967986033213440,And it comes in a nifty graphic novel version too!,bookmarkpaige
2,2021-01-06 23:51:54+00:00,1346967760614510596, Tired maybe? We understand tho. Just stay safe Nifty! 😍,AlmostSerious
3,2021-01-06 23:50:41+00:00,1346967456443629571,"Like every domestic violence victim, America is learning that the most dangerous time is when a victim tries to leave the abuser",nifty_raccoon
4,2021-01-06 23:47:49+00:00,1346966735786815488,fifty nifty united states from 13 original colonies.,Psychotic_AM
5,2021-01-06 23:47:20+00:00,1346966612734169091, If this is true that would be kind of nifty really,lauralawrie
6,2021-01-06 23:46:51+00:00,1346966489375539207,"neat. I don't listen to either, but, hey, that's nifty.",E_MaddX
7,2021-01-06 23:43:30+00:00,1346965648287608833, No. He probably thought it was pretty nifty.,kathy_pickens
8,2021-01-06 23:42:19+00:00,1346965350462627842,Really pissed off no  beats were used on carti tape 💔💔💔,James_Nifty
9,2021-01-06 23:40:54+00:00,1346964992017403904, Nifty! Like the ghostly grey look,Lightninging92
10,2021-01-06 23:40:30+00:00,1346964892927078401,nifty owo,Chapomajik
11,2021-01-06 23:37:46+00:00,1346964206231420933," Highly recommend you dig out a copy of Codex Armageddon &amp; maybe the 4th Edition Black Templars codex. Plenty of nifty bits of source material in those older tomes, codex Armageddon in particular.",TheSlowPainter
12,2021-01-06 23:36:30+00:00,1346963886470176769,Today morning 💯 points Gap down opening in Nifty future,sansaha82
13,2021-01-06 23:35:35+00:00,1346963656534159363, GIRL SAME OMG IM OVER IT,Nifty_Kaitlyn
14,2021-01-06 23:34:40+00:00,1346963423066689537,(Official髭男dismのライブを見て)ほんと素晴らしくてびっくりしました。明るくて音楽的に豊かで美しくて。欲しいものは全てここにあるじゃん！って思いました【niftyニュース(20181130)／】,yanaka1225_bot
15,2021-01-06 23:33:52+00:00,1346963222134284289, Bro I’m doing the same. My back hurt now 😂,sincerely_beee
16,2021-01-06 23:30:43+00:00,1346962430023196677,  We hope we live up to the expectations of always being nifty 🙂,GetRepibox
17,2021-01-06 23:30:04+00:00,1346962267166806020,#NIFTY - NIFTY trade setup for 07 Jan 2021 - Expect to Kiss 14996 - TradingView - ,in_tradingview
18,2021-01-06 23:28:52+00:00,1346961963641950210,I love Britney Spears. She writes great music and is very personable. Even though I prefer her earlier albums the stuff later on is kind of nifty too. Does she have like a fan club or something?,OGhustlerofprov
19,2021-01-06 23:25:54+00:00,1346961218309910531, OoOoOo this sounds nifty 🤔,TrippDuzStuff
20,2021-01-06 23:24:48+00:00,1346960943813545986, That is some very nifty sewing!,AlysshaFooks
21,2021-01-06 23:20:10+00:00,1346959777067380742, Stay safe everyone,nifty_nate
22,2021-01-06 23:18:43+00:00,1346959410590076929," True. I just felt it like, been using it for so long and just found that nifty trick. Love it.",simymonna
23,2021-01-06 23:18:08+00:00,1346959265257447424,"    Actually, the last community vote the Sims team had included a ghost/supernatural stuff pack to vote on. It came in second right behind the nifty knitting stuff pack. So... a lot of people asked for it.",oldmanjinkles
24,2021-01-06 23:16:45+00:00,1346958917021024256,"【歌舞伎町･ラブホテルなど】
「閉めれば、雇用調整助成金がもらえる」

再び緊急事態宣言新宿・歌舞伎町のラブホテル従業員が語った「売上1日1万円」の惨状： ",JKFGVi
25,2021-01-06 23:14:54+00:00,1346958450811662338,"Happy reading, folks! ---&gt;
",Nifty__Fifty
26,2021-01-06 23:13:18+00:00,1346958045931307009,  Oh Jesus Christ nifty,JonathanJostr20
27,2021-01-06 23:03:04+00:00,1346955470381096965,"結局廃止なの？（笑）
ニューヨーク証券取引所、中国通信大手３社再び上場廃止方針： ",kawausofx
28,2021-01-06 23:02:55+00:00,1346955432640741379,宇都宮市、独自の緊急事態宣言を発表： ,UIKoVwyAwhCaglI
29,2021-01-06 23:02:26+00:00,1346955311391727616, Nifty 👌,LEMacKz
30,2021-01-06 23:01:39+00:00,1346955116948156416,"Choosing comfy and nifty clothes (like these Palazzo Pants!) will make your day so much better! 

Our easy to dress up or down Palazzo Pants are 40% OFF! Make sure to snag yours now. Only 9 #palazzopants left. Available in navy, black, olive, and mustard.  ",valeriemayen
31,2021-01-06 23:00:40+00:00,1346954868565495810, Nifty emotions,thy_maniac
32,2021-01-06 23:00:14+00:00,1346954759480041474,Nifty little superspreader event you got there,RenRidesCycles
33,2021-01-06 22:59:04+00:00,1346954464595472387, More like keep American swarming with COVID and ignorance.,Nifty_Nora
34,2021-01-06 22:56:55+00:00,1346953922808832002,Don’t worry in 10 days half these people will have COVID and won’t be able to protest. #ArrestDonaldTrump #ArrestTrumpNow #America this shit is sad.,Nifty_Nora
35,2021-01-06 22:54:55+00:00,1346953422583468032,Maybe the ANTIFA are at the Capital posing as Trump supporters. That is a stunt that Hitler used as an excuse to invade Poland.,nifty_john
